amfi_code,cagr_1y,cagr_3y,cagr_5y,sharpe_ratio,sortino_ratio,alpha,beta,r_squared,p_value,max_drawdown,worst_dd_start,worst_dd_trough,expense_ratio,composite_score,final_rank
SCH015,3.67366950026331,-3.029121251068001,5.275311888013268,-0.6586168538062244,-0.9170740706641841,4.95106669364954,-0.025981981930415832,0.0004919202572275412,0.3707081729355318,-31.79750627130239,2024-01-25,2024-09-07,0.00843,38.25,29
SCH013,11.931491406524298,4.270531509741238,1.0579884492111225,-0.1444969663947624,-0.19875624865379496,1.0719946176363917,0.06136767949173636,0.0024131502605151296,0.04730337609505619,-42.37518131384957,2024-04-06,2024-12-10,0.02373,30.0,30
SCH004,3.618836749460197,-4.18397418912998,-3.2116781824913843,-0.6899601609538676,-0.9605530281746084,-0.14493705283756547,-0.06603449629103245,0.002774050025699521,0.03342614728395648,-32.2097968519398,2022-05-16,2025-08-06,0.01793,26.5,31
SCH007,21.145302454822023,-2.8878414779864303,-0.6445129302972807,-0.6288434030854199,-0.8650544455609818,0.4295350590029252,0.017350068715791218,0.00020603741967948922,0.5623995548681993,-44.664673205947544,2023-10-08,2024-12-24,0.0202,25.5,32
SCH023,-7.442641196025656,-7.596218712894887,-1.0217775087296932,-0.9544760059664762,-1.3148432462435218,0.2576676925952536,0.009009443834583193,5.6768957199526336e-05,0.7610841949119777,-42.57071456562659,2024-01-27,2025-01-14,0.00606,24.0,33
SCH034,8.315994065341625,-5.601819087955162,5.175288360947228,-0.7792787208621016,-1.0866075880619797,4.778489086422679,-0.006638231785776455,2.7872718446546006e-05,0.8312860336422387,-55.87244837276346,2024-04-20,2025-06-27,0.01459,22.25,34
SCH018,19.114817670827456,-10.04844700551738,-8.046637074255658,-1.088028117642216,-1.4834839840915273,-4.911949756661113,0.020403019473888128,0.0002745015615626212,0.5037214602024193,-58.34223902259297,2023-09-21,2024-12-28,0.00528,18.88,35
SCH020,15.559525352337467,-8.153128809905752,-7.060027015315329,-0.9372268831990862,-1.2774841885979429,-4.236385265159098,0.02960541436266047,0.0005469671049265328,0.3452119632311793,-58.8887761583795,2023-10-14,2024-10-14,0.00933,18.13,36
SCH003,31.21610960973882,-4.553581270350138,-2.84194760694757,-0.7304489760685206,-0.9880914078302532,-0.2238954853570192,-0.04500119754053358,0.0013490003877359334,0.1381603081121281,-52.299171712794546,2022-07-03,2024-09-09,0.0195,18.0,37
SCH014,21.579248660531114,-13.775673405670041,-0.6428361251514803,-1.3266720678302195,-1.8356825125388592,0.40596282347232565,0.023001425283684908,0.000345522451981396,0.45314207045859345,-62.547419509906696,2023-10-11,2024-10-05,0.00905,17.12,38
SCH022,37.49064952697063,-3.5831671370096907,-4.267506767510987,-0.6633563180925652,-0.8982921769157312,-1.6522074555590311,-0.014593759098840354,0.0001406126309510793,0.6322634949949384,-52.32350534089005,2022-01-12,2024-08-01,0.02412,16.25,39
SCH029,2.0836561758942107,-15.122141240331665,-11.68842779059146,-1.4098002680411617,-1.893489164088349,-7.7897398382127765,0.02844871929880774,0.0005248478210771032,0.3551588336542417,-62.28028195662236,2023-12-02,2025-09-20,0.01657,8.0,40
