investor_id,age,age_group,gender,sip_amount,city_tier
INV00077,44,36-45,Male,15047,B30
INV00078,31,26-35,Female,4900,T30
INV00079,28,26-35,Male,5091,T30
INV00080,33,26-35,Female,4890,T30
INV00081,30,26-35,Male,2130,T30
INV00082,27,26-35,Male,14912,T30
INV00083,29,26-35,Female,3084,T30
INV00084,27,26-35,Female,2858,B30
INV00085,21,18-25,Male,1530,T30
INV00086,48,46-60,Female,10118,B30
INV00087,23,18-25,Female,2609,B30
INV00088,18,18-25,Male,1041,B30
INV00089,58,46-60,Male,5026,T30
INV00090,57,46-60,Female,19918,B30
INV00091,66,60+,Female,1087,T30
INV00092,38,36-45,Male,2868,T30
INV00093,29,26-35,Male,1871,T30
INV00094,44,36-45,Male,10092,T30
INV00095,22,18-25,Other,874,B30
INV00096,37,36-45,Female,10073,T30
INV00097,42,36-45,Female,20104,T30
INV00098,44,36-45,Male,20067,T30
INV00099,45,36-45,Female,20129,T30
INV00100,31,26-35,Male,5001,B30
INV00101,22,18-25,Female,2435,T30
INV00102,25,18-25,Female,1072,T30
INV00103,37,36-45,Male,15036,T30
INV00104,20,18-25,Male,1074,T30
INV00105,28,26-35,Female,5035,T30
INV00106,35,26-35,Female,2080,T30
INV00107,43,36-45,Male,15143,T30
INV00108,20,18-25,Male,2492,T30
INV00109,27,26-35,Female,15105,T30
INV00110,34,26-35,Female,2078,T30
INV00111,40,36-45,Male,4952,T30
INV00112,19,18-25,Male,2077,T30
INV00113,19,18-25,Female,2131,T30
INV00114,30,26-35,Female,5035,T30
INV00115,27,26-35,Male,2971,T30
INV00116,26,26-35,Female,15038,B30
INV00117,38,36-45,Male,9883,T30
INV00118,32,26-35,Male,5059,B30
INV00119,28,26-35,Female,5080,B30
INV00120,41,36-45,Male,10150,B30
INV00121,20,18-25,Male,1413,T30
INV00122,38,36-45,Female,24965,B30
INV00123,40,36-45,Male,9978,T30
INV00124,48,46-60,Other,5123,B30
INV00125,34,26-35,Male,4928,T30
INV00126,35,26-35,Female,4871,T30
INV00127,56,46-60,Female,19985,B30
INV00128,35,26-35,Male,5104,B30
INV00129,22,18-25,Female,1502,T30
INV00130,48,46-60,Female,15062,T30
INV00131,33,26-35,Female,2923,T30
INV00132,31,26-35,Male,15039,T30
INV00133,39,36-45,Female,9986,T30
INV00134,38,36-45,Female,4998,T30
INV00135,42,36-45,Male,20017,B30
INV00136,23,18-25,Male,1589,T30
INV00137,43,36-45,Male,5051,T30
INV00138,55,46-60,Male,9874,T30
INV00139,30,26-35,Male,2996,T30
INV00140,42,36-45,Other,3037,B30
INV00141,36,36-45,Male,10141,T30
INV00142,31,26-35,Male,10047,T30
INV00143,59,46-60,Female,19910,T30
INV00144,27,26-35,Male,3135,B30
INV00145,39,36-45,Male,10055,B30
INV00146,36,36-45,Female,10092,B30
INV00147,28,26-35,Female,9921,T30
INV00148,35,26-35,Female,5003,B30
INV00149,34,26-35,Female,3138,T30
INV00150,33,26-35,Male,4906,T30
INV00151,35,26-35,Male,5092,T30
INV00152,49,46-60,Female,30148,B30
INV00153,25,18-25,Female,1544,B30
INV00154,55,46-60,Male,4947,B30
INV00155,41,36-45,Female,10061,B30
INV00156,21,18-25,Male,1591,B30
INV00157,44,36-45,Female,15016,T30
INV00158,34,26-35,Male,3085,B30
INV00159,34,26-35,Female,2097,B30
INV00160,29,26-35,Male,9965,B30
INV00161,39,36-45,Male,10012,B30
INV00162,44,36-45,Male,19997,T30
INV00163,52,46-60,Female,10026,T30
INV00164,63,60+,Female,2027,B30
INV00165,30,26-35,Female,15125,B30
INV00166,48,46-60,Male,15150,B30
INV00167,56,46-60,Male,14965,T30
INV00168,52,46-60,Female,20091,T30
INV00169,28,26-35,Female,2058,T30
INV00170,33,26-35,Female,2014,B30
INV00171,26,26-35,Female,2968,T30
INV00172,42,36-45,Male,2868,T30
INV00173,38,36-45,Male,4869,B30
INV00174,30,26-35,Male,5021,T30
INV00175,33,26-35,Female,2918,T30
INV00176,25,18-25,Female,1019,T30
INV00177,33,26-35,Female,2857,B30
INV00178,67,60+,Male,1939,T30
INV00179,51,46-60,Male,15055,T30
INV00180,38,36-45,Female,4977,B30
INV00181,30,26-35,Male,2986,B30
INV00182,45,36-45,Other,14855,T30
INV00183,31,26-35,Male,3088,T30
INV00184,56,46-60,Male,10009,B30
INV00185,30,26-35,Male,4962,B30
INV00186,33,26-35,Female,5041,T30
INV00187,43,36-45,Female,14961,T30
INV00188,21,18-25,Male,2620,T30
INV00189,27,26-35,Female,2130,T30
INV00190,44,36-45,Male,10017,T30
INV00191,39,36-45,Female,20100,T30
INV00192,34,26-35,Male,5082,T30
INV00193,42,36-45,Female,9879,T30
INV00194,25,18-25,Male,851,T30
INV00195,37,36-45,Male,15026,T30
INV00196,19,18-25,Male,2091,T30
INV00197,18,18-25,Female,2065,T30
INV00198,43,36-45,Female,15042,T30
INV00199,19,18-25,Male,1410,T30
INV00200,54,46-60,Female,14964,T30
INV00201,26,26-35,Male,2067,B30
INV00202,39,36-45,Male,19929,T30
INV00203,37,36-45,Male,14858,T30
INV00204,29,26-35,Male,4867,T30
INV00205,36,36-45,Female,3055,T30
INV00206,44,36-45,Female,14921,B30
INV00207,45,36-45,Male,15014,T30
INV00208,30,26-35,Male,2963,B30
INV00209,30,26-35,Male,14939,B30
INV00210,43,36-45,Female,20045,T30
INV00211,32,26-35,Female,3042,T30
INV00212,43,36-45,Male,10003,T30
INV00213,74,60+,Male,2063,T30
INV00214,32,26-35,Female,10019,T30
INV00215,41,36-45,Female,2947,T30
INV00216,56,46-60,Male,9870,B30
INV00217,45,36-45,Female,9961,B30
INV00218,29,26-35,Female,4958,B30
INV00219,27,26-35,Male,4954,T30
INV00220,29,26-35,Male,5044,B30
INV00221,34,26-35,Female,2034,B30
INV00222,25,18-25,Female,2513,T30
INV00223,41,36-45,Male,5138,T30
INV00224,28,26-35,Female,2149,T30
INV00225,71,60+,Female,2967,T30
INV00226,39,36-45,Female,10022,T30
INV00227,66,60+,Male,1030,B30
INV00228,28,26-35,Female,3127,B30
INV00229,59,46-60,Female,4874,B30
INV00230,32,26-35,Female,9884,T30
INV00231,26,26-35,Female,3041,T30
INV00232,60,46-60,Male,10099,B30
INV00233,26,26-35,Female,1856,T30
INV00234,18,18-25,Male,1358,T30
INV00235,28,26-35,Male,5118,B30
INV00236,20,18-25,Male,979,T30
INV00237,23,18-25,Male,2057,T30
INV00238,35,26-35,Male,3003,T30
INV00239,37,36-45,Male,3043,B30
INV00240,26,26-35,Male,4892,T30
INV00241,55,46-60,Female,5120,T30
INV00242,29,26-35,Male,5093,B30
INV00243,37,36-45,Female,15128,B30
INV00244,67,60+,Male,5150,T30
INV00245,50,46-60,Female,10138,T30
INV00246,35,26-35,Female,3019,T30
INV00247,28,26-35,Female,4877,B30
INV00248,39,36-45,Female,15024,B30
INV00249,56,46-60,Female,10080,T30
INV00250,54,46-60,Male,5071,T30
INV00251,35,26-35,Male,10001,T30
INV00252,27,26-35,Other,2044,B30
INV00253,32,26-35,Male,9896,B30
INV00254,43,36-45,Female,9902,T30
INV00255,52,46-60,Male,20135,T30
INV00256,36,36-45,Male,10133,T30
INV00257,45,36-45,Male,15047,B30
INV00258,42,36-45,Female,3136,T30
INV00259,48,46-60,Other,14936,B30
INV00260,20,18-25,Male,924,T30
INV00261,28,26-35,Male,3003,T30
INV00262,41,36-45,Male,10103,T30
INV00263,33,26-35,Male,9853,B30
INV00264,52,46-60,Male,5075,T30
INV00265,23,18-25,Female,1514,T30
INV00266,41,36-45,Female,10013,B30
INV00267,58,46-60,Female,20016,T30
INV00268,42,36-45,Female,20138,T30
INV00269,35,26-35,Female,2863,B30
INV00270,29,26-35,Male,9885,T30
INV00271,33,26-35,Male,9973,T30
INV00272,42,36-45,Female,14887,T30
INV00273,35,26-35,Male,2123,B30
INV00274,72,60+,Male,5124,B30
INV00275,39,36-45,Male,9935,B30
INV00276,35,26-35,Male,5070,B30
INV00277,50,46-60,Female,10111,T30
INV00278,41,36-45,Male,10106,B30
INV00279,36,36-45,Male,3001,T30
INV00280,37,36-45,Female,5028,T30
INV00281,43,36-45,Male,5116,B30
INV00282,43,36-45,Male,15081,T30
INV00283,27,26-35,Male,1861,T30
INV00284,27,26-35,Male,2114,B30
INV00285,78,60+,Male,3068,B30
INV00286,29,26-35,Male,1945,T30
INV00287,24,18-25,Female,951,B30
INV00288,52,46-60,Female,19959,B30
INV00289,37,36-45,Male,10124,B30
INV00290,41,36-45,Male,9908,B30
INV00291,56,46-60,Male,10048,T30
INV00292,37,36-45,Male,10084,T30
INV00293,30,26-35,Male,1918,B30
INV00294,27,26-35,Male,4943,T30
INV00295,23,18-25,Male,1420,B30
INV00296,78,60+,Female,2938,T30
INV00297,33,26-35,Female,2011,T30
INV00298,36,36-45,Male,24854,T30
INV00299,28,26-35,Female,3137,B30
INV00300,25,18-25,Male,1600,T30
INV00301,45,36-45,Female,9999,T30
INV00302,39,36-45,Male,2936,B30
INV00303,54,46-60,Male,4907,B30
INV00304,19,18-25,Female,2127,T30
INV00305,33,26-35,Male,4902,T30
INV00306,30,26-35,Female,5028,T30
INV00307,33,26-35,Male,1957,B30
INV00308,23,18-25,Female,921,T30
INV00309,29,26-35,Other,5122,T30
INV00310,35,26-35,Male,9999,T30
INV00311,35,26-35,Male,4898,T30
INV00312,32,26-35,Male,4917,T30
INV00313,41,36-45,Female,20051,T30
INV00314,45,36-45,Male,10062,B30
INV00315,33,26-35,Male,5056,T30
INV00316,71,60+,Male,1147,T30
INV00317,27,26-35,Female,4882,T30
INV00318,59,46-60,Male,10103,B30
INV00319,51,46-60,Male,20145,T30
INV00320,35,26-35,Male,2874,T30
INV00321,18,18-25,Male,1930,T30
INV00322,33,26-35,Male,2917,T30
INV00323,28,26-35,Male,9978,T30
INV00324,38,36-45,Male,10006,T30
INV00325,57,46-60,Female,9850,B30
INV00326,33,26-35,Male,2965,B30
INV00327,57,46-60,Male,14911,T30
INV00328,43,36-45,Female,20046,B30
INV00329,27,26-35,Male,3003,B30
INV00330,32,26-35,Male,14885,T30
INV00331,38,36-45,Male,24959,B30
INV00332,45,36-45,Female,24961,T30
INV00333,64,60+,Male,2046,T30
INV00334,32,26-35,Male,2976,B30
INV00335,39,36-45,Female,9995,T30
INV00336,54,46-60,Male,15110,B30
INV00337,32,26-35,Female,4972,B30
INV00338,76,60+,Male,886,T30
INV00339,48,46-60,Male,15141,B30
INV00340,31,26-35,Female,3091,B30
INV00341,47,46-60,Male,9984,T30
INV00342,26,26-35,Female,3109,T30
INV00343,52,46-60,Female,9892,T30
INV00344,30,26-35,Female,10111,B30
INV00345,44,36-45,Male,10150,T30
INV00346,30,26-35,Male,2879,T30
INV00347,42,36-45,Male,9878,B30
INV00348,37,36-45,Male,14855,B30
INV00349,33,26-35,Male,2982,B30
INV00350,31,26-35,Male,9910,B30
INV00351,31,26-35,Male,4882,T30
INV00352,35,26-35,Male,5111,T30
INV00353,26,26-35,Male,2935,T30
INV00354,40,36-45,Female,5143,T30
INV00355,29,26-35,Female,1856,B30
INV00356,26,26-35,Male,2926,T30
INV00357,26,26-35,Female,2964,T30
INV00358,23,18-25,Other,1488,T30
INV00359,47,46-60,Male,9876,B30
INV00360,29,26-35,Female,9885,B30
INV00361,40,36-45,Female,20133,T30
INV00362,25,18-25,Female,5138,T30
INV00363,53,46-60,Male,5102,T30
INV00364,21,18-25,Male,1559,T30
INV00365,51,46-60,Female,30021,T30
INV00366,47,46-60,Female,15121,T30
INV00367,32,26-35,Female,2993,T30
INV00368,26,26-35,Male,5061,T30
INV00369,55,46-60,Female,5108,T30
INV00370,32,26-35,Female,4881,T30
INV00371,69,60+,Female,1011,T30
INV00372,31,26-35,Male,4969,T30
INV00373,38,36-45,Female,14905,B30
INV00374,27,26-35,Male,3010,T30
INV00375,27,26-35,Male,5081,B30
INV00376,33,26-35,Female,9896,B30
INV00377,30,26-35,Female,3017,T30
INV00378,51,46-60,Male,10112,T30
INV00379,40,36-45,Male,4865,B30
INV00380,33,26-35,Male,2977,B30
INV00381,33,26-35,Male,2912,T30
INV00382,39,36-45,Male,10055,T30
INV00383,45,36-45,Female,9888,T30
INV00384,39,36-45,Male,19915,B30
INV00385,75,60+,Male,2875,T30
INV00386,35,26-35,Male,5104,B30
INV00387,32,26-35,Male,1959,B30
INV00388,40,36-45,Female,9867,B30
INV00389,43,36-45,Female,10095,T30
INV00390,27,26-35,Female,5064,B30
INV00391,34,26-35,Male,9859,T30
INV00392,76,60+,Male,1026,T30
INV00393,32,26-35,Female,2013,B30
INV00394,26,26-35,Female,3121,T30
INV00395,39,36-45,Female,9976,T30
INV00396,30,26-35,Female,9962,B30
INV00397,31,26-35,Male,5012,T30
INV00398,36,36-45,Male,15140,T30
INV00399,39,36-45,Male,20127,T30
INV00400,43,36-45,Male,9878,B30
INV00401,35,26-35,Male,3094,B30
INV00402,31,26-35,Female,3024,T30
INV00403,31,26-35,Male,5150,B30
INV00404,27,26-35,Male,14887,T30
INV00405,32,26-35,Female,3004,T30
INV00406,38,36-45,Male,3099,T30
INV00407,44,36-45,Female,10032,T30
INV00408,52,46-60,Female,15000,B30
INV00409,57,46-60,Male,15050,T30
INV00410,45,36-45,Male,24963,T30
INV00411,33,26-35,Male,2971,B30
INV00412,31,26-35,Male,2021,T30
INV00413,26,26-35,Male,14884,T30
INV00414,30,26-35,Male,1874,T30
INV00415,42,36-45,Male,10102,T30
INV00416,24,18-25,Male,2595,T30
INV00417,28,26-35,Male,5000,T30
INV00418,47,46-60,Male,15025,T30
INV00419,32,26-35,Male,5130,B30
INV00420,55,46-60,Female,14865,T30
INV00421,28,26-35,Female,2930,T30
INV00422,27,26-35,Female,5059,T30
INV00423,30,26-35,Female,4875,T30
INV00424,35,26-35,Female,9928,T30
INV00425,31,26-35,Male,3000,B30
INV00426,37,36-45,Female,2937,T30
INV00427,43,36-45,Male,10007,T30
INV00428,33,26-35,Male,9896,B30
INV00429,28,26-35,Male,10039,B30
INV00430,33,26-35,Female,5088,T30
INV00431,29,26-35,Female,1927,T30
INV00432,27,26-35,Female,2061,T30
INV00433,34,26-35,Female,5117,B30
INV00434,43,36-45,Male,5093,T30
INV00435,27,26-35,Male,3107,T30
INV00436,27,26-35,Female,2958,B30
INV00437,63,60+,Female,2072,B30
INV00438,21,18-25,Female,1884,T30
INV00439,19,18-25,Male,1016,T30
INV00440,43,36-45,Male,25150,B30
INV00441,65,60+,Female,3140,T30
INV00442,27,26-35,Male,14996,T30
INV00443,52,46-60,Male,30142,T30
INV00444,25,18-25,Male,1923,B30
INV00445,42,36-45,Female,9971,T30
INV00446,18,18-25,Male,2360,T30
INV00447,30,26-35,Male,9900,B30
INV00448,28,26-35,Male,10014,T30
INV00449,32,26-35,Female,14946,B30
INV00450,42,36-45,Male,20114,T30
INV00451,26,26-35,Female,4883,T30
INV00452,48,46-60,Female,5141,T30
INV00453,28,26-35,Female,2879,B30
INV00454,26,26-35,Female,1951,T30
INV00455,43,36-45,Male,19913,B30
INV00456,41,36-45,Male,10078,T30
INV00457,45,36-45,Male,3026,B30
INV00458,50,46-60,Female,20047,B30
INV00459,45,36-45,Male,9963,B30
INV00460,56,46-60,Female,15112,T30
INV00461,43,36-45,Female,9938,T30
INV00462,55,46-60,Other,14990,T30
INV00463,53,46-60,Female,14961,T30
INV00464,59,46-60,Female,20053,T30
INV00465,44,36-45,Male,5137,T30
INV00466,30,26-35,Male,5022,B30
INV00467,40,36-45,Female,19946,T30
INV00468,39,36-45,Female,3056,B30
INV00469,28,26-35,Male,10001,T30
INV00470,42,36-45,Male,15148,T30
INV00471,31,26-35,Male,5093,T30
INV00472,34,26-35,Male,2135,B30
INV00473,37,36-45,Female,4982,T30
INV00474,49,46-60,Male,14964,T30
INV00475,32,26-35,Female,3149,B30
INV00476,33,26-35,Male,10148,T30
INV00477,64,60+,Female,2045,T30
INV00478,32,26-35,Male,2920,B30
INV00479,31,26-35,Male,2923,T30
INV00480,53,46-60,Male,9940,B30
INV00481,23,18-25,Male,2457,B30
INV00482,35,26-35,Male,9916,T30
INV00483,32,26-35,Male,2046,T30
INV00484,44,36-45,Male,9857,B30
INV00485,46,46-60,Male,9977,T30
INV00486,40,36-45,Female,5046,B30
INV00487,28,26-35,Female,2002,B30
INV00488,44,36-45,Female,10022,T30
INV00489,24,18-25,Male,2033,T30
INV00490,68,60+,Male,964,B30
INV00491,36,36-45,Female,4936,B30
INV00492,31,26-35,Female,5123,B30
INV00493,56,46-60,Female,29860,T30
INV00494,27,26-35,Male,1913,B30
INV00495,22,18-25,Female,2004,T30
INV00496,50,46-60,Male,9920,B30
INV00497,57,46-60,Male,9910,T30
INV00498,53,46-60,Male,14952,T30
INV00499,39,36-45,Male,5001,T30
INV00500,26,26-35,Female,2096,T30
INV00501,29,26-35,Male,2906,T30
INV00502,28,26-35,Other,2888,B30
INV00503,19,18-25,Male,1485,B30
INV00504,37,36-45,Male,9870,B30
INV00505,22,18-25,Male,898,B30
INV00506,38,36-45,Male,5018,T30
INV00507,45,36-45,Male,20040,T30
INV00508,23,18-25,Male,1583,T30
INV00509,32,26-35,Female,1935,B30
INV00510,28,26-35,Male,9903,T30
INV00511,35,26-35,Male,2074,T30
INV00512,58,46-60,Male,14864,T30
INV00513,43,36-45,Other,15075,B30
INV00514,56,46-60,Male,9856,T30
INV00515,44,36-45,Female,9898,B30
INV00516,51,46-60,Male,9926,B30
INV00517,26,26-35,Male,3103,T30
INV00518,43,36-45,Male,15019,T30
INV00519,49,46-60,Other,15043,T30
INV00520,37,36-45,Female,10143,B30
INV00521,27,26-35,Female,1910,T30
INV00522,26,26-35,Female,1868,B30
INV00523,18,18-25,Male,1110,B30
INV00524,33,26-35,Male,9964,B30
INV00525,31,26-35,Male,3092,T30
INV00526,37,36-45,Male,24851,B30
INV00527,40,36-45,Male,10041,B30
INV00528,26,26-35,Female,5059,T30
INV00529,45,36-45,Female,4911,T30
INV00530,29,26-35,Male,5023,T30
INV00531,32,26-35,Male,2913,T30
INV00532,25,18-25,Female,2105,T30
INV00533,36,36-45,Male,25149,T30
INV00534,34,26-35,Male,4938,T30
INV00535,42,36-45,Male,5014,T30
INV00536,32,26-35,Female,2990,T30
INV00537,31,26-35,Male,1920,T30
INV00538,35,26-35,Female,3010,B30
INV00539,21,18-25,Male,1026,T30
INV00540,20,18-25,Male,2409,T30
INV00541,34,26-35,Male,5063,T30
INV00542,32,26-35,Male,9862,B30
INV00543,62,60+,Male,1952,T30
INV00544,28,26-35,Female,9924,B30
INV00545,30,26-35,Male,2866,T30
INV00546,33,26-35,Female,1964,B30
INV00547,58,46-60,Male,19874,B30
INV00548,42,36-45,Male,10132,T30
INV00549,26,26-35,Female,2076,B30
INV00550,45,36-45,Female,9950,B30
INV00551,43,36-45,Female,14945,B30
INV00552,34,26-35,Female,2069,B30
INV00553,34,26-35,Male,2149,B30
INV00554,26,26-35,Male,14870,T30
INV00555,45,36-45,Male,10004,T30
INV00556,35,26-35,Female,15012,B30
INV00557,28,26-35,Female,14931,T30
INV00558,34,26-35,Male,5028,T30
INV00559,29,26-35,Male,2000,T30
INV00560,35,26-35,Male,1854,T30
INV00561,49,46-60,Male,4974,B30
INV00562,60,46-60,Female,20047,T30
INV00563,34,26-35,Female,3041,T30
INV00564,36,36-45,Female,5014,B30
INV00565,38,36-45,Female,25123,T30
INV00566,18,18-25,Female,1067,B30
INV00567,29,26-35,Male,9886,B30
INV00568,43,36-45,Male,9869,B30
INV00569,27,26-35,Female,10135,B30
INV00570,39,36-45,Male,5058,T30
INV00571,33,26-35,Male,4858,T30
INV00572,27,26-35,Male,2882,B30
INV00573,27,26-35,Other,9904,T30
INV00574,47,46-60,Female,10074,T30
INV00575,53,46-60,Male,10123,T30
INV00576,58,46-60,Female,5001,T30
INV00577,46,46-60,Male,15134,B30
INV00578,46,46-60,Male,15051,T30
INV00579,57,46-60,Male,14958,B30
INV00580,34,26-35,Female,1963,T30
INV00581,48,46-60,Female,14877,B30
INV00582,37,36-45,Male,2978,B30
INV00583,29,26-35,Male,2032,B30
INV00584,29,26-35,Female,2885,B30
INV00585,53,46-60,Female,5006,T30
INV00586,35,26-35,Male,3069,B30
INV00587,26,26-35,Female,5073,T30
INV00588,31,26-35,Female,5095,B30
INV00589,41,36-45,Female,3099,T30
INV00590,45,36-45,Male,4921,T30
INV00591,37,36-45,Female,2859,T30
INV00592,35,26-35,Male,4958,B30
INV00593,18,18-25,Female,1591,T30
INV00594,42,36-45,Female,14998,B30
INV00595,44,36-45,Female,20053,T30
INV00596,56,46-60,Female,9934,T30
INV00597,48,46-60,Male,5139,T30
INV00598,41,36-45,Other,5099,T30
INV00599,51,46-60,Male,9871,T30
INV00600,21,18-25,Female,1582,B30
INV00601,41,36-45,Male,4990,T30
INV00602,35,26-35,Male,5042,T30
INV00603,45,36-45,Female,10114,T30
INV00604,54,46-60,Female,15030,B30
INV00605,33,26-35,Male,4853,T30
INV00606,20,18-25,Female,1613,T30
INV00607,22,18-25,Male,2535,T30
INV00608,29,26-35,Female,14908,T30
INV00609,33,26-35,Female,1932,B30
INV00610,26,26-35,Female,10143,B30
INV00611,28,26-35,Male,2925,T30
INV00612,40,36-45,Male,15114,T30
INV00613,35,26-35,Male,4995,B30
INV00614,19,18-25,Female,1096,B30
INV00615,29,26-35,Male,2148,T30
INV00616,20,18-25,Male,1025,T30
INV00617,35,26-35,Female,3043,T30
INV00618,28,26-35,Male,3117,T30
INV00619,28,26-35,Female,5093,T30
INV00620,34,26-35,Female,9897,B30
INV00621,25,18-25,Male,1070,B30
INV00622,57,46-60,Male,5069,T30
INV00623,33,26-35,Male,2144,T30
INV00624,32,26-35,Male,9969,B30
INV00625,45,36-45,Female,20059,T30
INV00626,36,36-45,Female,20145,T30
INV00627,19,18-25,Female,1011,T30
INV00628,31,26-35,Female,5149,T30
INV00629,22,18-25,Male,1537,T30
INV00630,52,46-60,Male,5135,B30
INV00631,41,36-45,Male,10097,T30
INV00632,30,26-35,Male,2920,T30
INV00633,43,36-45,Other,9901,B30
INV00634,34,26-35,Male,5131,B30
INV00635,42,36-45,Male,19896,B30
INV00636,63,60+,Female,1882,T30
INV00637,29,26-35,Male,1869,T30
INV00638,32,26-35,Male,9996,B30
INV00639,43,36-45,Female,9953,B30
INV00640,29,26-35,Male,2111,T30
INV00641,38,36-45,Female,10034,T30
INV00642,26,26-35,Female,10054,B30
INV00643,32,26-35,Male,5115,B30
INV00644,37,36-45,Male,10136,B30
INV00645,40,36-45,Male,9949,B30
INV00646,32,26-35,Male,4939,T30
INV00647,34,26-35,Female,3107,T30
INV00648,22,18-25,Male,1481,T30
INV00649,42,36-45,Female,4974,B30
INV00650,79,60+,Female,2864,T30
INV00651,47,46-60,Male,19962,T30
INV00652,51,46-60,Male,20124,T30
INV00653,39,36-45,Female,20054,B30
INV00654,27,26-35,Male,5093,B30
INV00655,23,18-25,Male,2487,B30
INV00656,57,46-60,Male,14970,T30
INV00657,39,36-45,Female,24977,T30
INV00658,28,26-35,Female,5102,T30
INV00659,36,36-45,Female,3040,T30
INV00660,33,26-35,Male,2101,T30
INV00661,34,26-35,Male,5145,B30
INV00662,44,36-45,Male,5094,B30
INV00663,41,36-45,Male,3084,T30
INV00664,34,26-35,Male,4856,T30
INV00665,32,26-35,Male,2035,B30
INV00666,50,46-60,Male,9987,T30
INV00667,35,26-35,Male,5105,T30
INV00668,57,46-60,Male,20036,T30
INV00669,30,26-35,Female,4917,T30
INV00670,40,36-45,Male,10134,B30
INV00671,32,26-35,Male,2092,T30
INV00672,42,36-45,Female,5114,T30
INV00673,40,36-45,Male,15140,B30
INV00674,57,46-60,Female,9880,T30
INV00675,30,26-35,Male,3080,B30
INV00676,51,46-60,Male,15135,T30
INV00677,52,46-60,Male,5029,B30
INV00678,45,36-45,Female,19939,T30
INV00679,22,18-25,Male,2099,T30
INV00680,25,18-25,Female,5087,T30
INV00681,52,46-60,Female,15142,B30
INV00682,24,18-25,Other,1966,B30
INV00683,40,36-45,Female,10052,T30
INV00684,57,46-60,Female,5116,B30
INV00685,38,36-45,Female,9914,T30
INV00686,37,36-45,Male,10053,T30
INV00687,37,36-45,Male,10130,B30
INV00688,42,36-45,Female,19903,T30
INV00689,22,18-25,Male,5008,T30
INV00690,29,26-35,Female,2917,T30
INV00691,26,26-35,Female,3016,B30
INV00692,44,36-45,Male,15130,T30
INV00693,28,26-35,Female,5083,T30
INV00694,44,36-45,Female,15096,T30
INV00695,27,26-35,Female,10061,B30
INV00696,46,46-60,Male,15117,B30
INV00697,31,26-35,Female,4854,T30
INV00698,33,26-35,Male,4999,B30
INV00699,44,36-45,Female,10060,T30
