transaction_id,investor_id,amfi_code,transaction_type,amount,transaction_date,kyc_status,state
TXN000038,INV00004,SCH004,SIP,15000.0,2025-10-24,Verified,Maharashtra
TXN000039,INV00004,SCH004,SIP,15000.0,2025-11-23,Verified,Maharashtra
TXN000040,INV00004,SCH004,SIP,15000.0,2025-12-23,Verified,Maharashtra
TXN000041,INV00004,SCH004,SIP,15000.0,2026-01-22,Verified,Maharashtra
TXN000042,INV00004,SCH004,SIP,15000.0,2026-02-21,Verified,Maharashtra
TXN000043,INV00004,SCH004,SIP,15000.0,2026-03-23,Verified,Maharashtra
TXN000044,INV00004,SCH004,SIP,15000.0,2026-04-22,Verified,Maharashtra
TXN000045,INV00004,SCH004,SIP,15000.0,2026-05-22,Verified,Maharashtra
TXN000046,INV00005,SCH030,Redemption,15000.0,2023-09-18,Verified,Tamil Nadu
TXN000047,INV00006,SCH030,Lumpsum,50000.0,2023-01-16,Verified,Karnataka
TXN000048,INV00006,SCH030,Lumpsum,10000.0,2023-05-04,Verified,Karnataka
TXN000049,INV00006,SCH030,Lumpsum,10000.0,2022-08-02,Pending,Karnataka
TXN000050,INV00007,SCH006,SIP,20000.0,2025-05-01,Verified,Maharashtra
TXN000051,INV00007,SCH006,SIP,20000.0,2025-05-31,Pending,Maharashtra
TXN000052,INV00007,SCH040,SIP,20000.0,2025-06-30,Verified,Maharashtra
TXN000053,INV00007,SCH040,SIP,20000.0,2025-07-30,Verified,Maharashtra
TXN000054,INV00007,SCH006,SIP,20000.0,2025-08-29,Verified,Maharashtra
TXN000055,INV00007,SCH040,SIP,20000.0,2025-09-28,Verified,Maharashtra
TXN000056,INV00007,SCH006,SIP,20000.0,2025-10-28,Verified,Maharashtra
TXN000057,INV00007,SCH040,SIP,20000.0,2025-11-27,Verified,Maharashtra
TXN000058,INV00007,SCH040,SIP,20000.0,2025-12-27,Pending,Maharashtra
TXN000059,INV00007,SCH040,SIP,20000.0,2026-01-26,Verified,Maharashtra
TXN000060,INV00007,SCH040,SIP,20000.0,2026-02-25,Verified,Maharashtra
TXN000061,INV00007,SCH006,SIP,20000.0,2026-03-27,Verified,Maharashtra
TXN000062,INV00007,SCH040,SIP,20000.0,2026-04-26,Verified,Maharashtra
TXN000063,INV00007,SCH006,SIP,20000.0,2026-05-26,Verified,Maharashtra
TXN000064,INV00008,SCH015,SIP,20000.0,2022-11-01,Verified,Karnataka
TXN000065,INV00008,SCH015,SIP,20000.0,2022-12-01,Pending,Karnataka
TXN000066,INV00008,SCH015,SIP,20000.0,2022-12-31,Verified,Karnataka
TXN000067,INV00008,SCH015,SIP,20000.0,2023-01-30,Verified,Karnataka
TXN000068,INV00008,SCH015,SIP,20000.0,2023-03-01,Verified,Karnataka
TXN000069,INV00008,SCH015,SIP,20000.0,2023-03-31,Pending,Karnataka
TXN000070,INV00008,SCH015,SIP,20000.0,2023-04-30,Verified,Karnataka
TXN000071,INV00008,SCH015,SIP,20000.0,2023-05-30,Verified,Karnataka
TXN000072,INV00008,SCH015,SIP,20000.0,2023-06-29,Verified,Karnataka
TXN000073,INV00008,SCH015,SIP,20000.0,2023-07-29,Failed,Karnataka
TXN000074,INV00008,SCH015,SIP,20000.0,2023-08-28,Verified,Karnataka
TXN000075,INV00008,SCH015,SIP,20000.0,2023-09-27,Pending,Karnataka
TXN000076,INV00008,SCH015,SIP,20000.0,2023-10-27,Pending,Karnataka
TXN000077,INV00008,SCH015,SIP,20000.0,2023-11-26,Verified,Karnataka
TXN000078,INV00008,SCH015,SIP,20000.0,2023-12-26,Verified,Karnataka
TXN000079,INV00008,SCH015,SIP,20000.0,2024-01-25,Verified,Karnataka
TXN000080,INV00008,SCH015,SIP,20000.0,2024-02-24,Pending,Karnataka
TXN000081,INV00008,SCH015,SIP,20000.0,2024-03-25,Verified,Karnataka
TXN000082,INV00008,SCH015,SIP,20000.0,2024-04-24,Failed,Karnataka
TXN000083,INV00008,SCH015,SIP,20000.0,2024-05-24,Pending,Karnataka
TXN000084,INV00008,SCH015,SIP,20000.0,2024-06-23,Verified,Karnataka
TXN000085,INV00008,SCH015,SIP,20000.0,2024-07-23,Verified,Karnataka
TXN000086,INV00008,SCH015,SIP,20000.0,2024-08-22,Verified,Karnataka
TXN000087,INV00008,SCH015,SIP,20000.0,2024-09-21,Verified,Karnataka
TXN000088,INV00008,SCH015,SIP,20000.0,2024-10-21,Verified,Karnataka
TXN000089,INV00008,SCH015,SIP,20000.0,2024-11-20,Verified,Karnataka
TXN000090,INV00008,SCH015,SIP,20000.0,2024-12-20,Failed,Karnataka
TXN000091,INV00008,SCH015,SIP,20000.0,2025-01-19,Verified,Karnataka
TXN000092,INV00008,SCH015,SIP,20000.0,2025-02-18,Failed,Karnataka
TXN000093,INV00008,SCH015,SIP,20000.0,2025-03-20,Verified,Karnataka
TXN000094,INV00008,SCH015,SIP,20000.0,2025-04-19,Verified,Karnataka
TXN000095,INV00008,SCH015,SIP,20000.0,2025-05-19,Verified,Karnataka
TXN000096,INV00008,SCH015,SIP,20000.0,2025-06-18,Verified,Karnataka
TXN000097,INV00008,SCH015,SIP,20000.0,2025-07-18,Pending,Karnataka
TXN000098,INV00008,SCH015,SIP,20000.0,2025-08-17,Verified,Karnataka
TXN000099,INV00008,SCH015,SIP,20000.0,2025-09-16,Verified,Karnataka
TXN000100,INV00008,SCH015,SIP,20000.0,2025-10-16,Verified,Karnataka
TXN000101,INV00008,SCH015,SIP,20000.0,2025-11-15,Verified,Karnataka
TXN000102,INV00008,SCH015,SIP,20000.0,2025-12-15,Verified,Karnataka
TXN000103,INV00008,SCH015,SIP,20000.0,2026-01-14,Verified,Karnataka
TXN000104,INV00008,SCH015,SIP,20000.0,2026-02-13,Pending,Karnataka
TXN000105,INV00008,SCH015,SIP,20000.0,2026-03-15,Verified,Karnataka
TXN000106,INV00008,SCH015,SIP,20000.0,2026-04-14,Verified,Karnataka
TXN000107,INV00008,SCH015,SIP,20000.0,2026-05-14,Verified,Karnataka
TXN000108,INV00008,SCH015,SIP,20000.0,2026-06-13,Verified,Karnataka
TXN000109,INV00009,SCH016,SIP,15000.0,2023-06-01,Pending,West Bengal
TXN000110,INV00009,SCH022,SIP,15000.0,2023-07-01,Verified,West Bengal
TXN000111,INV00009,SCH016,SIP,15000.0,2023-07-31,Verified,West Bengal
TXN000112,INV00009,SCH022,SIP,15000.0,2023-08-30,Verified,West Bengal
TXN000113,INV00009,SCH016,SIP,15000.0,2023-09-29,Verified,West Bengal
TXN000114,INV00009,SCH016,SIP,15000.0,2023-10-29,Verified,West Bengal
TXN000115,INV00009,SCH016,SIP,15000.0,2023-11-28,Verified,West Bengal
TXN000116,INV00009,SCH022,SIP,15000.0,2023-12-28,Verified,West Bengal
TXN000117,INV00009,SCH022,SIP,15000.0,2024-01-27,Pending,West Bengal
TXN000118,INV00009,SCH022,SIP,15000.0,2024-02-26,Verified,West Bengal
TXN000119,INV00009,SCH016,SIP,15000.0,2024-03-27,Verified,West Bengal
TXN000120,INV00009,SCH016,SIP,15000.0,2024-04-26,Verified,West Bengal
TXN000121,INV00009,SCH016,SIP,15000.0,2024-05-26,Verified,West Bengal
TXN000122,INV00009,SCH016,SIP,15000.0,2024-06-25,Verified,West Bengal
TXN000123,INV00009,SCH022,SIP,15000.0,2024-07-25,Pending,West Bengal
TXN000124,INV00009,SCH016,SIP,15000.0,2024-08-24,Verified,West Bengal
TXN000125,INV00009,SCH022,SIP,15000.0,2024-09-23,Pending,West Bengal
TXN000126,INV00009,SCH022,SIP,15000.0,2024-10-23,Verified,West Bengal
TXN000127,INV00009,SCH016,SIP,15000.0,2024-11-22,Failed,West Bengal
TXN000128,INV00009,SCH022,SIP,15000.0,2024-12-22,Verified,West Bengal
TXN000129,INV00009,SCH016,SIP,15000.0,2025-01-21,Verified,West Bengal
TXN000130,INV00009,SCH016,SIP,15000.0,2025-02-20,Verified,West Bengal
TXN000131,INV00009,SCH016,SIP,15000.0,2025-03-22,Verified,West Bengal
TXN000132,INV00009,SCH022,SIP,15000.0,2025-04-21,Pending,West Bengal
TXN000133,INV00009,SCH016,SIP,15000.0,2025-05-21,Verified,West Bengal
TXN000134,INV00009,SCH016,SIP,15000.0,2025-06-20,Verified,West Bengal
TXN000135,INV00009,SCH022,SIP,15000.0,2025-07-20,Failed,West Bengal
TXN000136,INV00009,SCH016,SIP,15000.0,2025-08-19,Verified,West Bengal
TXN000137,INV00009,SCH022,SIP,15000.0,2025-09-18,Verified,West Bengal
TXN000138,INV00009,SCH016,SIP,15000.0,2025-10-18,Verified,West Bengal
TXN000139,INV00009,SCH022,SIP,15000.0,2025-11-17,Verified,West Bengal
TXN000140,INV00009,SCH022,SIP,15000.0,2025-12-17,Pending,West Bengal
TXN000141,INV00009,SCH016,SIP,15000.0,2026-01-16,Verified,West Bengal
TXN000142,INV00009,SCH022,SIP,15000.0,2026-02-15,Verified,West Bengal
TXN000143,INV00009,SCH016,SIP,15000.0,2026-03-17,Verified,West Bengal
TXN000144,INV00009,SCH016,SIP,15000.0,2026-04-16,Verified,West Bengal
TXN000145,INV00009,SCH022,SIP,15000.0,2026-05-16,Verified,West Bengal
TXN000146,INV00009,SCH022,SIP,15000.0,2026-06-15,Verified,West Bengal
TXN000147,INV00010,SCH016,SIP,2000.0,2023-05-01,Verified,Gujarat
TXN000148,INV00010,SCH016,SIP,2000.0,2023-05-31,Verified,Gujarat
TXN000149,INV00010,SCH016,SIP,2000.0,2023-06-30,Verified,Gujarat
TXN000150,INV00010,SCH016,SIP,2000.0,2023-07-30,Verified,Gujarat
TXN000151,INV00010,SCH016,SIP,2000.0,2023-08-29,Verified,Gujarat
TXN000152,INV00010,SCH016,SIP,2000.0,2023-09-28,Pending,Gujarat
TXN000153,INV00010,SCH016,SIP,2000.0,2023-10-28,Verified,Gujarat
TXN000154,INV00010,SCH016,SIP,2000.0,2023-11-27,Verified,Gujarat
TXN000155,INV00010,SCH016,SIP,2000.0,2023-12-27,Verified,Gujarat
TXN000156,INV00010,SCH016,SIP,2000.0,2024-01-26,Verified,Gujarat
TXN000157,INV00010,SCH016,SIP,2000.0,2024-02-25,Pending,Gujarat
TXN000158,INV00010,SCH016,SIP,2000.0,2024-03-26,Verified,Gujarat
TXN000159,INV00010,SCH016,SIP,2000.0,2024-04-25,Verified,Gujarat
TXN000160,INV00010,SCH016,SIP,2000.0,2024-05-25,Verified,Gujarat
TXN000161,INV00010,SCH016,SIP,2000.0,2024-06-24,Verified,Gujarat
TXN000162,INV00010,SCH016,SIP,2000.0,2024-07-24,Verified,Gujarat
TXN000163,INV00010,SCH016,SIP,2000.0,2024-08-23,Verified,Gujarat
TXN000164,INV00010,SCH016,SIP,2000.0,2024-09-22,Verified,Gujarat
TXN000165,INV00010,SCH016,SIP,2000.0,2024-10-22,Verified,Gujarat
TXN000166,INV00010,SCH016,SIP,2000.0,2024-11-21,Verified,Gujarat
TXN000167,INV00010,SCH016,SIP,2000.0,2024-12-21,Verified,Gujarat
TXN000168,INV00010,SCH016,SIP,2000.0,2025-01-20,Verified,Gujarat
TXN000169,INV00010,SCH016,SIP,2000.0,2025-02-19,Verified,Gujarat
TXN000170,INV00010,SCH016,SIP,2000.0,2025-03-21,Pending,Gujarat
TXN000171,INV00010,SCH016,SIP,2000.0,2025-04-20,Verified,Gujarat
TXN000172,INV00010,SCH016,SIP,2000.0,2025-05-20,Verified,Gujarat
TXN000173,INV00010,SCH016,SIP,2000.0,2025-06-19,Verified,Gujarat
TXN000174,INV00010,SCH016,SIP,2000.0,2025-07-19,Verified,Gujarat
TXN000175,INV00010,SCH016,SIP,2000.0,2025-08-18,Pending,Gujarat
TXN000176,INV00010,SCH016,SIP,2000.0,2025-09-17,Verified,Gujarat
TXN000177,INV00010,SCH016,SIP,2000.0,2025-10-17,Verified,Gujarat
TXN000178,INV00010,SCH016,SIP,2000.0,2025-11-16,Verified,Gujarat
TXN000179,INV00010,SCH016,SIP,2000.0,2025-12-16,Verified,Gujarat
TXN000180,INV00010,SCH016,SIP,2000.0,2026-01-15,Verified,Gujarat
TXN000181,INV00010,SCH016,SIP,2000.0,2026-02-14,Verified,Gujarat
TXN000182,INV00010,SCH016,SIP,2000.0,2026-03-16,Verified,Gujarat
TXN000183,INV00010,SCH016,SIP,2000.0,2026-04-15,Verified,Gujarat
TXN000184,INV00010,SCH016,SIP,2000.0,2026-05-15,Verified,Gujarat
TXN000185,INV00010,SCH016,SIP,2000.0,2026-06-14,Verified,Gujarat
TXN000186,INV00011,SCH008,SIP,5000.0,2023-03-01,Pending,Tamil Nadu
TXN000187,INV00011,SCH008,SIP,5000.0,2023-03-31,Pending,Tamil Nadu
TXN000188,INV00011,SCH008,SIP,5000.0,2023-05-10,Verified,Tamil Nadu
TXN000189,INV00011,SCH008,SIP,5000.0,2023-06-09,Verified,Tamil Nadu
TXN000190,INV00011,SCH008,SIP,5000.0,2023-07-09,Verified,Tamil Nadu
TXN000191,INV00011,SCH008,SIP,5000.0,2023-08-08,Verified,Tamil Nadu
TXN000192,INV00011,SCH008,SIP,5000.0,2023-09-07,Verified,Tamil Nadu
TXN000193,INV00011,SCH008,SIP,5000.0,2023-10-07,Verified,Tamil Nadu
TXN000194,INV00011,SCH008,SIP,5000.0,2023-11-06,Pending,Tamil Nadu
TXN000195,INV00011,SCH008,SIP,5000.0,2023-12-06,Pending,Tamil Nadu
TXN000196,INV00011,SCH008,SIP,5000.0,2024-01-05,Verified,Tamil Nadu
TXN000197,INV00011,SCH008,SIP,5000.0,2024-02-04,Verified,Tamil Nadu
TXN000198,INV00011,SCH008,SIP,5000.0,2024-03-05,Verified,Tamil Nadu
TXN000199,INV00011,SCH008,SIP,5000.0,2024-04-14,Failed,Tamil Nadu
TXN000200,INV00011,SCH008,SIP,5000.0,2024-05-24,Pending,Tamil Nadu
TXN000201,INV00011,SCH008,SIP,5000.0,2024-06-23,Verified,Tamil Nadu
TXN000202,INV00011,SCH008,SIP,5000.0,2024-07-23,Verified,Tamil Nadu
TXN000203,INV00011,SCH008,SIP,5000.0,2024-09-01,Verified,Tamil Nadu
TXN000204,INV00011,SCH008,SIP,5000.0,2024-10-01,Verified,Tamil Nadu
TXN000205,INV00011,SCH008,SIP,5000.0,2024-10-31,Verified,Tamil Nadu
TXN000206,INV00011,SCH008,SIP,5000.0,2024-12-10,Verified,Tamil Nadu
TXN000207,INV00011,SCH008,SIP,5000.0,2025-01-19,Verified,Tamil Nadu
TXN000208,INV00011,SCH008,SIP,5000.0,2025-02-18,Pending,Tamil Nadu
TXN000209,INV00011,SCH008,SIP,5000.0,2025-03-20,Verified,Tamil Nadu
TXN000210,INV00011,SCH008,SIP,5000.0,2025-04-19,Verified,Tamil Nadu
TXN000211,INV00011,SCH008,SIP,5000.0,2025-05-29,Verified,Tamil Nadu
TXN000212,INV00011,SCH008,SIP,5000.0,2025-06-28,Verified,Tamil Nadu
TXN000213,INV00011,SCH008,SIP,5000.0,2025-08-07,Verified,Tamil Nadu
TXN000214,INV00011,SCH008,SIP,5000.0,2025-09-16,Verified,Tamil Nadu
TXN000215,INV00011,SCH008,SIP,5000.0,2025-10-26,Pending,Tamil Nadu
TXN000216,INV00011,SCH008,SIP,5000.0,2025-12-05,Verified,Tamil Nadu
TXN000217,INV00011,SCH008,SIP,5000.0,2026-01-04,Verified,Tamil Nadu
TXN000218,INV00011,SCH008,SIP,5000.0,2026-02-13,Verified,Tamil Nadu
TXN000219,INV00011,SCH008,SIP,5000.0,2026-03-15,Verified,Tamil Nadu
TXN000220,INV00011,SCH008,SIP,5000.0,2026-04-14,Verified,Tamil Nadu
TXN000221,INV00011,SCH008,SIP,5000.0,2026-05-14,Verified,Tamil Nadu
TXN000222,INV00011,SCH008,SIP,5000.0,2026-06-13,Verified,Tamil Nadu
TXN000223,INV00012,SCH036,SIP,10000.0,2023-04-01,Verified,Haryana
TXN000224,INV00012,SCH036,SIP,10000.0,2023-05-01,Failed,Haryana
TXN000225,INV00012,SCH021,SIP,10000.0,2023-05-31,Verified,Haryana
TXN000226,INV00012,SCH036,SIP,10000.0,2023-06-30,Verified,Haryana
TXN000227,INV00012,SCH021,SIP,10000.0,2023-07-30,Verified,Haryana
TXN000228,INV00012,SCH021,SIP,10000.0,2023-08-29,Verified,Haryana
TXN000229,INV00012,SCH036,SIP,10000.0,2023-09-28,Pending,Haryana
TXN000230,INV00012,SCH036,SIP,10000.0,2023-10-28,Verified,Haryana
TXN000231,INV00012,SCH036,SIP,10000.0,2023-11-27,Verified,Haryana
TXN000232,INV00012,SCH021,SIP,10000.0,2023-12-27,Verified,Haryana
TXN000233,INV00012,SCH036,SIP,10000.0,2024-01-26,Verified,Haryana
TXN000234,INV00012,SCH036,SIP,10000.0,2024-02-25,Verified,Haryana
TXN000235,INV00012,SCH021,SIP,10000.0,2024-03-26,Verified,Haryana
TXN000236,INV00012,SCH021,SIP,10000.0,2024-04-25,Verified,Haryana
TXN000237,INV00012,SCH021,SIP,10000.0,2024-05-25,Verified,Haryana
TXN000238,INV00012,SCH021,SIP,10000.0,2024-06-24,Verified,Haryana
TXN000239,INV00012,SCH021,SIP,10000.0,2024-07-24,Verified,Haryana
TXN000240,INV00012,SCH021,SIP,10000.0,2024-08-23,Verified,Haryana
TXN000241,INV00012,SCH021,SIP,10000.0,2024-09-22,Verified,Haryana
TXN000242,INV00012,SCH036,SIP,10000.0,2024-10-22,Verified,Haryana
TXN000243,INV00012,SCH021,SIP,10000.0,2024-11-21,Verified,Haryana
TXN000244,INV00012,SCH021,SIP,10000.0,2024-12-21,Verified,Haryana
TXN000245,INV00012,SCH021,SIP,10000.0,2025-01-20,Verified,Haryana
TXN000246,INV00012,SCH021,SIP,10000.0,2025-02-19,Verified,Haryana
TXN000247,INV00012,SCH021,SIP,10000.0,2025-03-21,Verified,Haryana
TXN000248,INV00012,SCH036,SIP,10000.0,2025-04-20,Verified,Haryana
TXN000249,INV00012,SCH021,SIP,10000.0,2025-05-20,Verified,Haryana
TXN000250,INV00012,SCH021,SIP,10000.0,2025-06-19,Verified,Haryana
TXN000251,INV00012,SCH036,SIP,10000.0,2025-07-19,Verified,Haryana
TXN000252,INV00012,SCH036,SIP,10000.0,2025-08-18,Verified,Haryana
TXN000253,INV00012,SCH021,SIP,10000.0,2025-09-17,Verified,Haryana
TXN000254,INV00012,SCH021,SIP,10000.0,2025-10-17,Failed,Haryana
TXN000255,INV00012,SCH021,SIP,10000.0,2025-11-16,Verified,Haryana
TXN000256,INV00012,SCH021,SIP,10000.0,2025-12-16,Verified,Haryana
TXN000257,INV00012,SCH036,SIP,10000.0,2026-01-15,Verified,Haryana
TXN000258,INV00012,SCH021,SIP,10000.0,2026-02-14,Verified,Haryana
TXN000259,INV00012,SCH036,SIP,10000.0,2026-03-16,Failed,Haryana
TXN000260,INV00012,SCH036,SIP,10000.0,2026-04-15,Verified,Haryana
TXN000261,INV00012,SCH021,SIP,10000.0,2026-05-15,Verified,Haryana
TXN000262,INV00012,SCH021,SIP,10000.0,2026-06-14,Verified,Haryana
TXN000263,INV00013,SCH010,SIP,5000.0,2024-06-01,Verified,Punjab
TXN000264,INV00013,SCH032,SIP,5000.0,2024-07-01,Verified,Punjab
TXN000265,INV00013,SCH010,SIP,5000.0,2024-07-31,Verified,Punjab
TXN000266,INV00013,SCH010,SIP,5000.0,2024-09-09,Verified,Punjab
TXN000267,INV00013,SCH010,SIP,5000.0,2024-10-19,Verified,Punjab
TXN000268,INV00013,SCH010,SIP,5000.0,2024-11-18,Verified,Punjab
TXN000269,INV00013,SCH032,SIP,5000.0,2024-12-18,Verified,Punjab
TXN000270,INV00013,SCH010,SIP,5000.0,2025-01-17,Verified,Punjab
TXN000271,INV00013,SCH032,SIP,5000.0,2025-02-16,Verified,Punjab
TXN000272,INV00013,SCH032,SIP,5000.0,2025-03-28,Verified,Punjab
TXN000273,INV00013,SCH032,SIP,5000.0,2025-04-27,Verified,Punjab
TXN000274,INV00013,SCH010,SIP,5000.0,2025-05-27,Verified,Punjab
TXN000275,INV00013,SCH032,SIP,5000.0,2025-06-26,Pending,Punjab
TXN000276,INV00013,SCH032,SIP,5000.0,2025-07-26,Verified,Punjab
TXN000277,INV00013,SCH032,SIP,5000.0,2025-08-25,Failed,Punjab
TXN000278,INV00013,SCH010,SIP,5000.0,2025-09-24,Pending,Punjab
TXN000279,INV00013,SCH010,SIP,5000.0,2025-10-24,Verified,Punjab
TXN000280,INV00013,SCH010,SIP,5000.0,2025-11-23,Verified,Punjab
TXN000281,INV00013,SCH032,SIP,5000.0,2025-12-23,Verified,Punjab
TXN000282,INV00013,SCH032,SIP,5000.0,2026-01-22,Pending,Punjab
TXN000283,INV00013,SCH010,SIP,5000.0,2026-02-21,Verified,Punjab
TXN000284,INV00013,SCH032,SIP,5000.0,2026-04-02,Verified,Punjab
TXN000285,INV00013,SCH010,SIP,5000.0,2026-05-12,Verified,Punjab
TXN000286,INV00013,SCH032,SIP,5000.0,2026-06-11,Verified,Punjab
TXN000287,INV00014,SCH018,SIP,5000.0,2025-04-01,Verified,Punjab
TXN000288,INV00014,SCH018,SIP,5000.0,2025-05-01,Verified,Punjab
TXN000289,INV00014,SCH018,SIP,5000.0,2025-05-31,Verified,Punjab
TXN000290,INV00014,SCH011,SIP,5000.0,2025-06-30,Verified,Punjab
TXN000291,INV00014,SCH011,SIP,5000.0,2025-07-30,Verified,Punjab
TXN000292,INV00014,SCH011,SIP,5000.0,2025-08-29,Verified,Punjab
TXN000293,INV00014,SCH011,SIP,5000.0,2025-09-28,Verified,Punjab
TXN000294,INV00014,SCH011,SIP,5000.0,2025-10-28,Verified,Punjab
TXN000295,INV00014,SCH011,SIP,5000.0,2025-11-27,Verified,Punjab
TXN000296,INV00014,SCH011,SIP,5000.0,2025-12-27,Verified,Punjab
TXN000297,INV00014,SCH011,SIP,5000.0,2026-01-26,Verified,Punjab
TXN000298,INV00014,SCH011,SIP,5000.0,2026-02-25,Verified,Punjab
TXN000299,INV00014,SCH018,SIP,5000.0,2026-03-27,Failed,Punjab
TXN000300,INV00014,SCH018,SIP,5000.0,2026-04-26,Verified,Punjab
TXN000301,INV00014,SCH011,SIP,5000.0,2026-05-26,Verified,Punjab
TXN000302,INV00015,SCH025,Lumpsum,100000.0,2026-02-24,Verified,Gujarat
TXN000303,INV00016,SCH030,SIP,1000.0,2024-07-01,Verified,Punjab
TXN000304,INV00016,SCH030,SIP,1000.0,2024-07-31,Verified,Punjab
TXN000305,INV00016,SCH030,SIP,1000.0,2024-08-30,Pending,Punjab
TXN000306,INV00016,SCH030,SIP,1000.0,2024-09-29,Verified,Punjab
TXN000307,INV00016,SCH030,SIP,1000.0,2024-10-29,Verified,Punjab
TXN000308,INV00016,SCH030,SIP,1000.0,2024-11-28,Verified,Punjab
TXN000309,INV00016,SCH030,SIP,1000.0,2024-12-28,Pending,Punjab
TXN000310,INV00016,SCH030,SIP,1000.0,2025-01-27,Verified,Punjab
TXN000311,INV00016,SCH030,SIP,1000.0,2025-02-26,Verified,Punjab
TXN000312,INV00016,SCH030,SIP,1000.0,2025-03-28,Verified,Punjab
TXN000313,INV00016,SCH030,SIP,1000.0,2025-04-27,Verified,Punjab
TXN000314,INV00016,SCH030,SIP,1000.0,2025-05-27,Pending,Punjab
TXN000315,INV00016,SCH030,SIP,1000.0,2025-06-26,Verified,Punjab
TXN000316,INV00016,SCH030,SIP,1000.0,2025-07-26,Verified,Punjab
TXN000317,INV00016,SCH030,SIP,1000.0,2025-08-25,Verified,Punjab
TXN000318,INV00016,SCH030,SIP,1000.0,2025-09-24,Verified,Punjab
TXN000319,INV00016,SCH030,SIP,1000.0,2025-10-24,Verified,Punjab
TXN000320,INV00016,SCH030,SIP,1000.0,2025-11-23,Verified,Punjab
TXN000321,INV00016,SCH030,SIP,1000.0,2025-12-23,Verified,Punjab
TXN000322,INV00016,SCH030,SIP,1000.0,2026-01-22,Verified,Punjab
TXN000323,INV00016,SCH030,SIP,1000.0,2026-02-21,Verified,Punjab
TXN000324,INV00016,SCH030,SIP,1000.0,2026-03-23,Verified,Punjab
TXN000325,INV00016,SCH030,SIP,1000.0,2026-04-22,Verified,Punjab
TXN000326,INV00016,SCH030,SIP,1000.0,2026-05-22,Verified,Punjab
TXN000327,INV00017,SCH031,Lumpsum,50000.0,2025-09-12,Verified,Maharashtra
TXN000328,INV00017,SCH031,Lumpsum,10000.0,2023-11-24,Verified,Maharashtra
TXN000329,INV00018,SCH019,Redemption,30000.0,2024-01-04,Verified,Tamil Nadu
